Int_no,Rue_1,Rue_2,Arrondissement,X,Y,long,lat
551,Rachel,Saint-Urbain,Plateau Mont-Royal,298330.75,5041882.26,-73.5828043205395,45.5168294483337
552,Saint-Cuthbert,Saint-Urbain,Plateau Mont-Royal,298683.22,5041651.95,-73.5782899484122,45.5147602076416
553,Saint-Joseph,Saint-Laurent,Plateau Mont-Royal,297663.25,5042499.29,-73.5913570804439,45.522375213824
554,Saint-Joseph,Saint-Urbain,Plateau Mont-Royal,297580.27,5042366.39,-73.5924173427848,45.5211784734949
555,Saint-Laurent,Saint-Viateur,Plateau Mont-Royal,297074.38,5042882.04,-73.5989011915027,45.525813067857
556,Saint-Laurent,Villeneuve,Plateau Mont-Royal,297820.81,5042397.08,-73.5893387118043,45.5214570836524
557,Saint-Urbain,3650,Plateau Mont-Royal,298947.94,5041483,-73.5748997279489,45.5132421989691
558,Saint-Urbain,Saint-Viateur,Plateau Mont-Royal,296990.01,5042750.58,-73.5999791751612,45.524629200409
559,Saint-Urbain,Villeneuve,Plateau Mont-Royal,297733.71,5042264.58,-73.5904517433313,45.5202639194543
560,Van Horne,Waverly,Plateau Mont-Royal,296365.62,5043064.96,-73.6079776690949,45.5274508350676
561,Berri,Saint-Joseph,Plateau Mont-Royal,298015.65,5043056.93,-73.5868537572019,45.5273965920447
562,Bienville,Saint-Denis,Plateau Mont-Royal,298181.4,5042765.58,-73.5847278798249,45.5247765065316
563,Boucher,Saint-Denis,Plateau Mont-Royal,297634.18,5043122.83,-73.5917383225189,45.5279857677737
564,Boucher,Saint-Hubert,Plateau Mont-Royal,297763.2,5043341.59,-73.5900897260502,45.5299555675024
565,Brébeuf,Laurier,Plateau Mont-Royal,298179.82,5043613.67,-73.5847595671551,45.5324079275986
566,Brébeuf,Saint-Joseph,Plateau Mont-Royal,298321.63,5043519.19,-73.58294269595,45.5315590938623
567,Carmel,Saint-Denis,Plateau Mont-Royal,297466.6,5043228.65,-73.5938852978658,45.5289362330603
568,Christophe-Colomb,Gilford,Plateau Mont-Royal,298342.8,5043299.59,-73.5826687614203,45.5295832466779
569,Christophe-Colomb,Marie-Anne,Plateau Mont-Royal,298796.24,5043006.98,-73.5768599830384,45.5269542836709
570,Christophe-Colomb,Mont-Royal,Plateau Mont-Royal,298613.2,5043124.09,-73.5792047331722,45.528006483633
571,Christophe-Colomb,Parc-La Fontaine / Rachel,Plateau Mont-Royal,298992.63,5042863.15,-73.5743441005564,45.5256617097922
572,Christophe-Colomb,Saint-Joseph,Plateau Mont-Royal,298225.91,5043374.07,-73.5841662519102,45.5302523530836
573,Duluth,Parc-La Fontaine,Plateau Mont-Royal,299146.83,5042741.59,-73.5723686803529,45.5245691333868
574,Duluth,Saint-Denis,Plateau Mont-Royal,298872.76,5042316.41,-73.5758720234143,45.520740920791
575,Duluth,Saint-Hubert,Plateau Mont-Royal,298995.9,5042510.08,-73.574298056903,45.5224846756813
576,Fabre,Saint-Joseph,Plateau Mont-Royal,298486.48,5043768.64,-73.5808353359498,45.5338052513053
577,Garnier,Saint-Joseph,Plateau Mont-Royal,298438.34,5043695.51,-73.5814507472834,45.5331467624682
579,Gilford,La Roche,Plateau Mont-Royal,298397.7,5043380.59,-73.5819669596768,45.5303126218201
580,Gilford,Saint-Denis,Plateau Mont-Royal,298085.97,5042828.5,-73.5859503859379,45.525341772293
582,Lanaudière,Marie-Anne,Plateau Mont-Royal,298960.9,5043256.09,-73.5747549809134,45.5291972697221
583,Lanaudière,Mont-Royal,Plateau Mont-Royal,298779.44,5043375.15,-73.5770795807911,45.5302670729315
584,Calixa-Lavallée,Lanaudière/Rachel,Plateau Mont-Royal,299176.16,5043113.62,-73.5719974850052,45.5279170403397
585,Lanaudière,Saint-Joseph,Plateau Mont-Royal,298395.66,5043630.43,-73.5819963439572,45.5325607573624
586,La Roche,Laurier,Plateau Mont-Royal,298140.8,5043552.09,-73.5852583106794,45.5318534359379
587,La Roche,Marie-Anne,Plateau Mont-Royal,298847.85,5043085.8,-73.5762002313383,45.527663978927
588,La Roche,Mont-Royal,Plateau Mont-Royal,298666.3,5043203.59,-73.5785259316881,45.5287223243021
589,La Roche,Rachel,Plateau Mont-Royal,299061.3,5042945.26,-73.5734659715769,45.5264011360455
590,La Roche,Saint-Joseph,Plateau Mont-Royal,298281.09,5043457.53,-73.5834609091612,45.5310038759574
591,Laurier,Mentana,Plateau Mont-Royal,298018.1,5043353.09,-73.586826492233,45.530061575892
593,Laurier,Saint-Denis,Plateau Mont-Royal,297810.28,5043007.58,-73.5894822120666,45.5269504926777
594,Laurier,Saint-Hubert,Plateau Mont-Royal,297942.9,5043231.09,-73.5877875448182,45.528963037968
595,Marie-Anne,Saint-Denis,Plateau Mont-Royal,298505.73,5042556.15,-73.5805732896328,45.5228949781023
596,Marie-Anne,Saint-Hubert,Plateau Mont-Royal,298633.1,5042746.58,-73.5789452176117,45.5246096797119
597,Mentana,Mont-Royal,Plateau Mont-Royal,298541,5043015.09,-73.5801276594929,45.5270250152903
598,Rachel,Saint-Hubert,Plateau Mont-Royal,298816.6,5042625.58,-73.5765946774571,45.5235224739123
599,Mont-Royal,Saint-Hubert,Plateau Mont-Royal,298454.54,5042884.95,-73.5812328329636,45.5258531838148
600,Mont-Royal,Rivard,Plateau Mont-Royal,298362.2,5042737.08,-73.5824130001105,45.5245217457587
601,Mont-Royal,Saint-Denis,Plateau Mont-Royal,298322.6,5042675.08,-73.5829191163183,45.523963478895
602,Rachel,Saint-Denis,Plateau Mont-Royal,298692.51,5042435.58,-73.5781808083634,45.5218117035009
603,Saint-Jacques,Wilson,Côte-des-Neiges - Notre-Dame-de-Grâce,296290.69,5036340.03,-73.6088203067688,45.4669361579159
604,Resther,Saint-Joseph,Plateau Mont-Royal,298044.59,5043100.62,-73.5864838680305,45.5277900124087
605,Saint-Denis,Saint-Grégoire,Plateau Mont-Royal,297519.01,5043196.08,-73.5932138396218,45.528643705388
606,Saint-Denis,Saint-Joseph,Plateau Mont-Royal,297933.97,5042927.73,-73.5878976187838,45.5262332012529
607,Saint-Grégoire,Saint-Hubert,Plateau Mont-Royal,297620.56,5043431.66,-73.5919172146309,45.5307645963789
608,Saint-Hubert,Saint-Joseph,Plateau Mont-Royal,298075.42,5043147.45,-73.5860898205747,45.5282117047032
609,Chabanel,Marché-Central,Ahuntsic - Cartierville,292577.34,5043847.49,-73.6564949332247,45.5344361789313
610,Bellechasse,Châteaubriand,Rosemont - Petite-Patrie,296944.7,5043793.58,-73.6005759331791,45.5340139961904
611,Langelier,Rosemont,Mercier - Hochelaga - Maisonneuve,300537.68,5049623.27,-73.554623776711,45.5865027433123
612,Carignan,Rosemont,Mercier - Hochelaga - Maisonneuve,300396.8,5049330.15,-73.5564265814532,45.5838642852582
613,Alexandre-DeSève,Maisonneuve,Ville-Marie,300495.6,5042438.09,-73.5550998340677,45.5218477543258
614,Alexandre-DeSève,Sainte-Catherine,Ville-Marie,300608.32,5042363.11,-73.5536562853576,45.5211737413825
615,Cartier,Maisonneuve,Ville-Marie,300646.6,5042668.59,-73.5531688653367,45.5239228003562
616,Saint-Hubert,Saint-Zotique,Rosemont - Petite-Patrie,296479.4,5044202.32,-73.6065403722661,45.5376865864209
617,Papineau,René-Lévesque,Ville-Marie,300913.54,5042385.82,-73.5497494484735,45.5213798633555
618,Dorion,Sainte-Catherine,Ville-Marie,300783.98,5042637.42,-73.5514099697901,45.5236431254306
619,Dufresne,Maisonneuve,Ville-Marie,301009.79,5043225.86,-73.5485238788071,45.5289394025318
620,Dufresne,Sainte-Catherine,Ville-Marie,301121.97,5043154.02,-73.5470871639016,45.5282935594568
621,Frontenac,Maisonneuve,Ville-Marie,301126.79,5043412.6,-73.547027395914,45.5306203873802
622,Frontenac,Sainte-Catherine,Ville-Marie,301240.99,5043343.1,-73.5455648109456,45.5299955922234
623,Fullum,Maisonneuve,Ville-Marie,300928.4,5043103.09,-73.5495648975167,45.5278342232188
624,Fullum,Sainte-Catherine,Ville-Marie,301040.1,5043029.59,-73.5481343310855,45.5271734531899
625,Havre,Sainte-Catherine,Ville-Marie,301289.29,5043420.6,-73.5449469978976,45.5306932119838
626,Iberville,Maisonneuve,Ville-Marie,301088.49,5043350.1,-73.5475172696565,45.5300577854644
627,Iberville,Sainte-Catherine,Ville-Marie,301203.19,5043280.6,-73.5460482925893,45.5294329990949
628,Lorimier,Maisonneuve,Ville-Marie,300757.1,5042839.59,-73.5517557346641,45.5254621750744
629,Lorimier,Sainte-Catherine,Ville-Marie,300865.8,5042768.59,-73.5503636272718,45.524823911247
630,Maisonneuve,Panet,Ville-Marie,300404.1,5042299.59,-73.5562698658637,45.5206009053552
631,Maisonneuve,Papineau,Ville-Marie,300599.8,5042594.59,-73.5537673309971,45.5232566387986
632,Maisonneuve,Parthenais,Ville-Marie,300855.8,5042990.09,-73.550493425256,45.5268169982796
633,Papineau,Sainte-Catherine,Ville-Marie,300709.9,5042521.59,-73.5523573172247,45.5226004106485
634,Papineau,Sainte-Rose,Ville-Marie,300802.71,5042459.31,-73.5511687500753,45.5220405288915
635,Parthenais,Sainte-Catherine,Ville-Marie,300965.7,5042916.59,-73.5490859169774,45.5261562298552
636,Bordeaux,Ontario,Ville-Marie,300278.28,5043068.58,-73.5578875244954,45.5275197744289
637,Champlain,La Fontaine,Ville-Marie,300307.5,5042665.59,-73.5575097521267,45.5238937022508
638,Champlain,Ontario,Ville-Marie,300116.9,5042792.59,-73.55995088867,45.525035243542
639,Dorion,Ontario,Ville-Marie,300238.23,5043010.19,-73.5583997047557,45.5269940976234
640,La Fontaine,Papineau,Ville-Marie,300360.42,5042745.8,-73.5568330354526,45.5246158023399
641,Lorimier,Ontario,Ville-Marie,300317.9,5043130.09,-73.5573808681942,45.5280735210937
642,Ontario,Papineau,Ville-Marie,300157.3,5042886.09,-73.55943459274,45.5258768632549
643,Ontario,Plessis,Ville-Marie,300043.2,5042632.09,-73.560892803454,45.5235905026611
644,Bercy,Ontario,Ville-Marie,300782.79,5043865.1,-73.5514352710312,45.5346902562308
645,Frontenac,Hochelaga,Ville-Marie,300223.03,5043959.23,-73.558603162993,45.5355338213791
646,Frontenac,Hogan/Marie-Anne,Plateau Mont-Royal,299656.84,5044301.09,-73.5658562012856,45.5386060552331
647,Frontenac,Mont-Royal,Plateau Mont-Royal,299453.12,5044385.84,-73.5684656818367,45.539367133211
648,Frontenac,Ontario,Ville-Marie,300687.89,5043678.6,-73.5526487785304,45.5330115052229
649,Frontenac,Rachel,Plateau Mont-Royal,299878.79,5044166.1,-73.5630128612478,45.5373929683923
650,Frontenac,Rouen,Ville-Marie,300435.29,5043829.6,-73.5558842486629,45.5343687238751
651,Frontenac,Sherbrooke,Ville-Marie,300035.29,5044072.1,-73.5610080680423,45.5365482092626
652,Fullum,Hochelaga,Ville-Marie,300046,5043687,-73.5608671972561,45.5330830082434
654,Fullum,Mont-Royal,Plateau Mont-Royal,299316.69,5044179.69,-73.5702103295195,45.5375110593655
655,Fullum,Ontario,Ville-Marie,300495.99,5043391.6,-73.5551032180828,45.5304278111527
656,Fullum,Rachel,Plateau Mont-Royal,299712.69,5043913.6,-73.5651370380456,45.5351196865242
657,Fullum,Rouen,Ville-Marie,300219.66,5043573.1,-73.5586427009023,45.532059255971
658,Fullum,Sherbrooke,Ville-Marie,299948.99,5043751.1,-73.5621098858757,45.5336591356504
659,Havre,Ontario,Ville-Marie,300721.89,5043736.1,-73.5522139436448,45.5335291117985
660,Hochelaga,Hogan,Ville-Marie,300332.59,5044174.1,-73.557202326409,45.5374680127853
661,Hochelaga,Iberville,Ville-Marie,300181.68,5043897,-73.5591320179727,45.534973579698
662,Hochelaga,Wurtele,Ville-Marie,300391.19,5044304.6,-73.5564531663338,45.5386426733975
663,Hogan,Rachel,Plateau Mont-Royal,299989.39,5044348.1,-73.5615984898803,45.5390314440168
664,Hogan,Rouen,Ville-Marie,300551.59,5044064.6,-73.5543972228072,45.5364840607501
665,Sainte-Anne-de-Bellevue,West Broadway,Côte-des-Neiges - Notre-Dame-de-Grâce,294413.56,5034900,-73.6327952807837,45.4539526948076
666,Iberville,Marie-Anne,Plateau Mont-Royal,299615.69,5044239.1,-73.5663824546127,45.5380479413972
667,Iberville,Mont-Royal,Plateau Mont-Royal,299430.81,5044349.61,-73.56875095921,45.5390409508157
668,Iberville,Ontario,Ville-Marie,300649.49,5043616.1,-73.5531398972634,45.5324488788574
669,Iberville,Rachel,Plateau Mont-Royal,299841.19,5044104.6,-73.563493681437,45.5368393020029
670,Iberville,Rouen,Ville-Marie,300398.72,5043769.5,-73.5563519380428,45.5338276914096
671,Iberville,Sherbrooke,Plateau Mont-Royal,300009.29,5044002.6,-73.5613402958462,45.5359226440899
672,Ontario,Parthenais,Ville-Marie,300420.19,5043279.6,-73.5560726656036,45.5294195199691
673,Ontario,Poupart,Ville-Marie,300613.99,5043562.1,-73.5535939498963,45.53196275399
674,Parthenais,Rachel,Plateau Mont-Royal,299638.39,5043801.6,-73.56608718131,45.5341113221877
675,Parthenais,Sherbrooke,Plateau Mont-Royal,299919.69,5043617.1,-73.562483692818,45.5324531484931
677,Bordeaux,Laurier,Plateau Mont-Royal,298629.19,5044163.59,-73.5790131229643,45.5373604359811
678,Bordeaux,Marie-Anne,Plateau Mont-Royal,299274.3,5043731.37,-73.5707480475816,45.5334765743211
679,Berri,Chabanel,Ahuntsic - Cartierville,293203.47,5045435.95,-73.6485158258267,45.5487403817671
680,Bordeaux,Mont-Royal,Plateau Mont-Royal,299097.98,5043852.35,-73.5730069593985,45.5345637771579
681,Bordeaux,Rachel,Plateau Mont-Royal,299492.39,5043585.1,-73.5679541591262,45.5321620769697
682,Bordeaux,Saint-Joseph,Plateau Mont-Royal,298712.35,5044109,-73.5779476367187,45.5368699466132
683,Bordeaux,Sherbrooke,Ville-Marie,299858.5,5043345.06,-73.5632643770007,45.5300047979445
684,Calixa-Lavallée,Panet/Sherbrooke,Ville-Marie,299724.95,5042746.2,-73.5649679683768,45.524615064754
685,Champlain,Émile-Duployé/Sherbrooke,Ville-Marie,299783.23,5043013.62,-73.564224638901,45.5270218356994
686,Christophe-Colomb,Saint-Grégoire,Plateau Mont-Royal,297751.64,5043634.29,-73.5902419365131,45.5325892748789
687,Dorion,Sherbrooke,Ville-Marie,299841.5,5043274,-73.5634813028957,45.5293652521359
688,Fullum,Gilford,Plateau Mont-Royal,299047.49,5044356.1,-73.5736593356857,45.5390962907374
689,Fullum,Saint-Joseph,Plateau Mont-Royal,298936.45,5044432.4,-73.5750820854394,45.5397819403186
690,Gauthier,Lorimier,Plateau Mont-Royal,299702.09,5043543.6,-73.5652689071462,45.5317902098268
691,Gauthier,Papineau,Plateau Mont-Royal,299536.12,5043297.18,-73.5673911833556,45.5295715950854
692,Gilford,Lorimier,Plateau Mont-Royal,298874.09,5044098.09,-73.5758765512853,45.5367731687538
693,Gilford,Papineau,Plateau Mont-Royal,298704.96,5043848.2,-73.5780390137805,45.5345231070511
694,Iberville,Saint-Joseph,Plateau Mont-Royal,299043.95,5044584.94,-73.5737073548797,45.5411554471469
695,Laurier,Lorimier,Plateau Mont-Royal,298673.99,5044232.09,-73.5784403462789,45.5379772194521
696,Laurier,Papineau inter. Nord,Plateau Mont-Royal,298447.4,5044017,-73.5813389190827,45.5360397314939
697,Lorimier,Marie-Anne,Plateau Mont-Royal,299319.97,5043800.04,-73.5701640826527,45.5340948533676
698,Lorimier,Masson,Plateau Mont-Royal,298415.77,5044402.96,-73.5817489426883,45.5395124517979
699,Lorimier,Mont-Royal,Plateau Mont-Royal,299141.62,5043919.44,-73.5724489815202,45.5351678337161
700,Lorimier,Rachel,Plateau Mont-Royal,299538.09,5043653.1,-73.5673697858572,45.5327743132003
701,Lorimier,Rouen inter. Sud,Ville-Marie,300099.47,5043277,-73.5601786670947,45.5293940348892
702,Lorimier,Saint-Joseph,Plateau Mont-Royal,298756.31,5044175.6,-73.577385585555,45.5374696206152
703,Lorimier,Sherbrooke,Ville-Marie,299876.29,5043429.1,-73.563037462456,45.5307611478395
704,Marie-Anne,Papineau,Plateau Mont-Royal,299154.39,5043549.59,-73.5722812132007,45.5318398883436
705,Émile-Duployé,Marquette/Rachel,Plateau Mont-Royal,299319,5043323,-73.5701711638354,45.5298022596106
706,Masson,Papineau,Plateau Mont-Royal,298246.09,5044149.59,-73.5839182714506,45.5372309606169
707,Molson,Saint-Joseph,Rosemont - Petite-Patrie,299142.91,5044751.87,-73.572442082649,45.5426583542501
708,Mont-Royal,Papineau,Plateau Mont-Royal,298975.61,5043669.52,-73.5745715726354,45.532917592348
709,Papineau,Rachel,Plateau Mont-Royal,299371.69,5043406.09,-73.5694975150457,45.5305503474452
710,Papineau,Saint-Grégoire,Plateau Mont-Royal,298138.44,5044222.63,-73.5852976471974,45.5378871803446
711,Papineau,Saint-Joseph,Plateau Mont-Royal,298589,5043924.25,-73.5795246929856,45.535206409248
712,Papineau,Sherbrooke,Ville-Marie,299806.75,5043116.25,-73.5639245823164,45.5279455089428
713,Plessis,Sherbrooke,Ville-Marie,299742,5042827.93,-73.5647505475995,45.525350627077
714,Lorimier,René-Lévesque,Ville-Marie,301071.59,5042625.6,-73.5477281212849,45.5235383620337
715,Frontenac,Notre-Dame,Ville-Marie,301348.74,5043278.8,-73.544184871238,45.5294175379561
716,Iberville,Notre-Dame,Ville-Marie,301327.92,5043210.33,-73.5444509345984,45.5288013150353
717,Lorimier,Notre-Dame/Viger,Ville-Marie,301215.6,5042539.59,-73.5458839919638,45.5227651653985
718,Notre-Dame,Panet/Ville-Marie,Ville-Marie,300980.53,5041922,-73.5488883146807,45.5172065951208
719,Notre-Dame,Papineau,Ville-Marie,301120.51,5042254.09,-73.5470990973729,45.5201956273385
720,Papineau,Viger,Ville-Marie,301053.32,5042293.53,-73.5479594602664,45.520550166373
721,Panet,Viger,Ville-Marie,300893.51,5041977.58,-73.5500025926812,45.5177062442945
722,Notre-Dame,Saint-Antoine,Ville-Marie,300959.12,5041828,-73.5491616209803,45.5163606274204
723,Parthenais,René-Lévesque,Ville-Marie,301197.6,5042764.59,-73.5461160644824,45.5247897113833
724,Aird,Hochelaga,Mercier - Hochelaga - Maisonneuve,301307.47,5046442.42,-73.5447358041323,45.55788473435
725,Bourbonnière,Hochelaga,Mercier - Hochelaga - Maisonneuve,300929.27,5045571.7,-73.5495732757305,45.5500476944331
726,Bourbonnière,Rouen,Mercier - Hochelaga - Maisonneuve,301172.35,5045459.25,-73.5464592650643,45.5490371381254
727,Chambly,Hochelaga,Mercier - Hochelaga - Maisonneuve,300822.09,5045301.61,-73.550943757099,45.5476167250024
728,Cuvillier,Ontario,Mercier - Hochelaga - Maisonneuve,301228.66,5044857.89,-73.5457337157229,45.5436261760395
729,Davidson,Hochelaga,Mercier - Hochelaga - Maisonneuve,300694.59,5045002.11,-73.5525740938052,45.5449209769109
730,Davidson,Ontario,Mercier - Hochelaga - Maisonneuve,301198.39,5044786.61,-73.5461208214319,45.5429846168345
731,29 e Avenue,Beaubien,Rosemont - Petite-Patrie,298852.17,5047412.08,-73.576197504619,45.5665934084362
732,Desjardins,Hochelaga,Mercier - Hochelaga - Maisonneuve,301074.9,5045938.65,-73.5477109552345,45.5533504331765
733,Dézéry,Ontario,Mercier - Hochelaga - Maisonneuve,301098.99,5044570.11,-73.5473920620638,45.5410359496983
734,Hochelaga,Leclaire,Mercier - Hochelaga - Maisonneuve,301381.71,5046605.48,-73.5437860041264,45.5593523720594
735,Hochelaga,Létourneux,Mercier - Hochelaga - Maisonneuve,301147.18,5046095.01,-73.5467863632177,45.5547577975387
736,Hochelaga,Moreau,Mercier - Hochelaga - Maisonneuve,300528.14,5044621.75,-73.5547023408154,45.5414973588167
737,Hochelaga,Orléans,Mercier - Hochelaga - Maisonneuve,300951.8,5045640.94,-73.5492852737903,45.5506708651825
738,Hochelaga,Pie-IX,Mercier - Hochelaga - Maisonneuve,301034.2,5045849.53,-73.5482315533155,45.5525482814874
739,Hochelaga,Saint-Clément,Mercier - Hochelaga - Maisonneuve,301451.62,5046762.98,-73.5428915824464,45.5607699499489
740,Hochelaga,Saint-Germain,Mercier - Hochelaga - Maisonneuve,300629.99,5044855.11,-73.5534001120594,45.5435978340952
741,Hochelaga,Viau,Mercier - Hochelaga - Maisonneuve,301487.49,5046842.41,-73.5424326383752,45.5614848593634
742,Joliette,Ontario,Mercier - Hochelaga - Maisonneuve,301288.14,5044996.37,-73.5449730230341,45.5448725716499
743,Ontario,Préfontaine,Mercier - Hochelaga - Maisonneuve,301061.89,5044489.11,-73.547866515225,45.5403068838451
744,Ontario,Saint-Germain,Mercier - Hochelaga - Maisonneuve,301131.99,5044641.61,-73.5469700273209,45.5416795074398
745,Pie-IX,Rouen,Mercier - Hochelaga - Maisonneuve,301302.82,5045726.49,-73.544790248006,45.5514425252793
746,Rouen,Saint-Clément,Mercier - Hochelaga - Maisonneuve,301717.1,5046638.61,-73.5394900929052,45.5596520529193
747,Rouen,Saint-Germain,Mercier - Hochelaga - Maisonneuve,300864.9,5044755.78,-73.5503911156583,45.5427053932726
748,Rouen,Viau,Mercier - Hochelaga - Maisonneuve,301752.5,5046718.11,-73.5390371357063,45.5603675766464
749,Adam,Bourbonnière,Mercier - Hochelaga - Maisonneuve,301746.86,5045206.27,-73.5390999467773,45.5467634891587
750,Adam,Létourneux,Mercier - Hochelaga - Maisonneuve,302003.19,5045703.12,-73.5358201045729,45.5512353986503
751,Adam,Pie-IX,Mercier - Hochelaga - Maisonneuve,301890.67,5045457.96,-73.5372597449574,45.5490289012539
752,Adam,Saint-Clément,Mercier - Hochelaga - Maisonneuve,302303.7,5046363.62,-73.5319746979121,45.5571799494429
753,Adam,Viau,Mercier - Hochelaga - Maisonneuve,302338.9,5046441.62,-73.5315242194063,45.5578819454817
754,Aird,Ontario,Mercier - Hochelaga - Maisonneuve,301850.88,5046194.76,-73.537773775924,45.5556587184039
755,Aird,Sainte-Catherine,Mercier - Hochelaga - Maisonneuve,302299.13,5045990.74,-73.532031328007,45.5538246298434
756,Bourbonnière,La Fontaine,Mercier - Hochelaga - Maisonneuve,301596.03,5045274.74,-73.5410319944595,45.5473789292778
757,Bourbonnière,Notre-Dame,Mercier - Hochelaga - Maisonneuve,302080.44,5045052.62,-73.5348271114818,45.5453822733886
758,Bourbonnière,Ontario,Mercier - Hochelaga - Maisonneuve,301443.88,5045341,-73.5429809740392,45.5479744439111
759,Bourbonnière,Sainte-Catherine,Mercier - Hochelaga - Maisonneuve,301917.4,5045127.87,-73.5369154700374,45.5460587444131
760,Davidson,Sainte-Catherine,Mercier - Hochelaga - Maisonneuve,301681.53,5044581.84,-73.5399326150723,45.54114435171
761,Davidson,Notre-Dame,Mercier - Hochelaga - Maisonneuve,301831.99,5044519.11,-73.5380055656318,45.5405805413115
762,Dézéry,Sainte-Catherine,Mercier - Hochelaga - Maisonneuve,301586.07,5044362.5,-73.5411535587406,45.5391702155614
763,Notre-Dame,3550 Notre-Dame(face Joliette),Mercier - Hochelaga - Maisonneuve,301948.7,5044721,-73.536512262506,45.5423977091809
764,Joliette,Sainte-Catherine,Mercier - Hochelaga - Maisonneuve,301769.78,5044788.96,-73.5388038389986,45.5430084828075
765,La Fontaine,Létourneux,Mercier - Hochelaga - Maisonneuve,301843.27,5045776.07,-73.5378687181074,45.5518911677983
766,La Fontaine,Pie-IX,Mercier - Hochelaga - Maisonneuve,301732.05,5045529.94,-73.5392916396899,45.549675922184
767,La Fontaine,Saint-Clément,Mercier - Hochelaga - Maisonneuve,302155.4,5046434.12,-73.5338746291734,45.557813785112
768,La Fontaine,Viau,Mercier - Hochelaga - Maisonneuve,302189.9,5046513.12,-73.5334331410024,45.5585247842766
769,Létourneux,Notre-Dame,Mercier - Hochelaga - Maisonneuve,302302.44,5045566.25,-73.5319867664461,45.5500049314824
770,Létourneux,Ontario,Mercier - Hochelaga - Maisonneuve,301692.98,5045845.22,-73.539794016212,45.552512749419
771,Létourneux,Sainte-Catherine,Mercier - Hochelaga - Maisonneuve,302133.43,5045645.14,-73.5341517419425,45.5507141850157
772,Nicolet,Sainte-Catherine,Mercier - Hochelaga - Maisonneuve,301846.16,5044965.81,-73.537826813345,45.5446001715027
773,Notre-Dame,Pie-IX,Mercier - Hochelaga - Maisonneuve,302192.97,5045317.69,-73.5333874469018,45.5477678988905
774,Notre-Dame,Sainte-Catherine,Mercier - Hochelaga - Maisonneuve,302720.56,5046537.68,-73.5266359470685,45.558747570661
776,Notre-Dame,Sicard,Mercier - Hochelaga - Maisonneuve,302493.49,5046008.62,-73.5295420353902,45.5539861912072
777,Notre-Dame,Viau,Mercier - Hochelaga - Maisonneuve,302622.62,5046310.54,-73.5278894681026,45.5567033877033
778,Ontario,Pie-IX,Mercier - Hochelaga - Maisonneuve,301581.07,5045599.37,-73.5412257166701,45.5502999964361
779,Ontario,Saint-Clément,Mercier - Hochelaga - Maisonneuve,301995,5046509.11,-73.535929619264,45.5584879430061
780,Ontario,Viau,Mercier - Hochelaga - Maisonneuve,302030,5046587.61,-73.535481744263,45.5591944528419
781,Ontario,William-David,Mercier - Hochelaga - Maisonneuve,301780.33,5046036.53,-73.5386764380331,45.554234607727
782,Pie-IX,Sainte-Catherine,Mercier - Hochelaga - Maisonneuve,302029.42,5045394.01,-73.5354824141127,45.5484540221419
783,Sainte-Catherine,Viau,Mercier - Hochelaga - Maisonneuve,302474.4,5046380.62,-73.5297883107,45.5573335123484
784,Saint-Clément,Sainte-Catherine,Mercier - Hochelaga - Maisonneuve,302438.5,5046301.62,-73.5302477677148,45.556622522365
785,Aylwin,Sherbrooke,Rosemont - Petite-Patrie,300478.29,5045267.89,-73.5553463884485,45.5473112520816
786,Bourbonnière,Mont-Royal,Rosemont - Petite-Patrie,300080.09,5045958.61,-73.5604526343521,45.5535240080362
787,Bourbonnière,Pierre-de-Coubertin,Mercier - Hochelaga - Maisonneuve,300645.79,5045701.61,-73.5532049667629,45.5512150370046
788,Bourbonnière,Rachel,Rosemont - Petite-Patrie,300391.39,5045816.61,-73.5564642246394,45.5522482831421
789,Bourbonnière,Sherbrooke,Rosemont - Petite-Patrie,300517.69,5045760.11,-73.5548461163651,45.551740664543
790,Chambly,Sherbrooke,Rosemont - Petite-Patrie,300495.96,5045441.73,-73.5551216249382,45.5488756354952
791,Charlemagne,Sherbrooke,Rosemont - Petite-Patrie,300528.75,5045911.75,-73.5547057881729,45.5531052419584
792,Henri-Bourassa Est,10 605 est (Sortie Shell),Rivières-des-Prairies - Pointe-aux-Trembles,301670.5,5056729.5,-73.5401517343393,45.6504523640183
793,Davidson,Sherbrooke,Rosemont - Petite-Patrie,300425.09,5045117.11,-73.5560263511279,45.5459541476916
794,Dézéry,Rachel,Rosemont - Petite-Patrie,300050.09,5045018.59,-73.5608277498595,45.5450651732065
795,Léry (pl),Sherbrooke,Rosemont - Petite-Patrie,300222.28,5044573.55,-73.5586185094317,45.5410616949639
796,Moreau,Sherbrooke,Rosemont - Petite-Patrie,300278.99,5044726.11,-73.5578937372121,45.5424348557659
797,Pie-IX,Pierre-de-Coubertin,Mercier - Hochelaga - Maisonneuve,300763.95,5045973.69,-73.5516938798514,45.5536640024558
798,Pie-IX,Sherbrooke,Rosemont - Petite-Patrie,300538.73,5046077.66,-73.5545794103898,45.5545982186478
799,Marseille,Viau,Mercier - Hochelaga - Maisonneuve,300952.53,5047086.16,-73.5492872921401,45.5636754520004
800,Pierre-de-Coubertin,Viau,Mercier - Hochelaga - Maisonneuve,301216.75,5046962.49,-73.5459016463315,45.5625640384462
801,Saint-Germain,Sherbrooke,Rosemont - Petite-Patrie,300369.09,5044965.61,-73.5567421313169,45.5445905423219
